,Rank,Pos Rk,Player,Pos,Team,Comments,Draft Pick Value
0,1,QB1,Patrick Mahomes,QB,KC,,>2024 1.01
1,2,QB2,Lamar Jackson,QB,BAL,,>2024 1.01
2,3,QB3,Jalen Hurts,QB,PHI,,>2024 1.01
3,4,QB4,Josh Allen,QB,BUF,,>2024 1.01
4,5,WR1,Justin Jefferson,WR,MIN,,>2024 1.01
5,6,QB5,Anthony Richardson,QB,IND,"Richardson has shown more as a passer than many expected, and Shane Steichen is giving him plenty of rushing and GL opportunities.",>2024 1.01
6,7,RB1,Bijan Robinson,RB,ATL,,~2024 1.01
7,8,RB2,Breece Hall,RB,NYJ,"There's not much to love about a Zach Wilson-led Jets offense, but Hall has shown elite RB1 upside as soon as he's 100% healthy.",~2024 1.01
8,9,WR2,Ja'Marr Chase,WR,CIN,"Chase is still an elite WR long term, but there's concern about 2023 production if Burrow's calf isn't 100% all season.",~2024 1.01
9,10,QB6,Tua Tagovailoa,QB,MIA,"The only concern for Tua is health. If he can stay on the field, Tua will be a strong QB1 with elite weekly upside this season.",~2024 1.01
10,11,QB7,Justin Herbert,QB,LAC,,~2024 1.01
11,12,QB8,Joe Burrow,QB,CIN,"Burrow will be fine in the long run, but there's a chance that this calf injury could greatly limit his 2023 production.",~2024 1.01
12,13,WR3,AJ Brown,WR,PHI,,Early 2024 1st
13,14,RB3,Christian McCaffrey,RB,SF,"The age cliff is looming for McCaffrey, but he's a weekly top-3 RB if he can stay healthy for the duration of the 2023 season.",Early 2024 1st
14,15,QB9,Justin Fields,QB,CHI,"CHI has finally started to call more designed runs for him, so Fields remains a QB1 ROS even with inconsistent passing.",Early 2024 1st
15,16,QB10,Trevor Lawrence,QB,JAC,,Early 2024 1st
16,17,WR4,Chris Olave,WR,NO,,Early 2024 1st
17,18,WR5,Garrett Wilson,WR,NYJ,"Wilson moves down slightly due to the QB downgrade in 2023, but he's still seeing a massive target share this year and is fine long-term.",Early 2024 1st
18,19,WR6,Jaylen Waddle,WR,MIA,,Early 2024 1st
19,20,WR7,Tyreek Hill,WR,MIA,"Age be damned. My dynasty rankings align more with redraft in-season, and Hill and Diggs are still elite WR1s and league-winners in 2023.",Early 2024 1st
20,21,WR8,Stefon Diggs,WR,BUF,,Early 2024 1st
21,22,WR9,Amon-Ra St. Brown,WR,DET,,Early 2024 1st
22,23,WR10,CeeDee Lamb,WR,DAL,,Early 2024 1st
23,24,TE1,Mark Andrews,TE,BAL,,Early 2024 1st
24,25,WR11,Davante Adams,WR,LV,"There was some concern that Garoppolo wouldn't target Adams downfield, but Adams has been a dominant force and truly QB-proof.",Early 2024 1st
25,26,QB11,Kyler Murray,QB,ARI,,Early 2024 1st
26,27,QB12,CJ Stroud,QB,HOU,"Stroud has looked poised from the moment he stepped on an NFL field. Even without much rushing upside, he could quickly ascend.",Early 2024 1st
27,28,RB4,Tony Pollard,RB,DAL,"Pollard is seeing lead back and GL usage and is a top-5 RB for 2023, but keep in mind he's on the franchise tag heading into 2024.",Mid 2024 1st
28,29,TE2,Travis Kelce,TE,KC,,Mid 2024 1st
29,30,WR12,DeVonta Smith,WR,PHI,,Mid 2024 1st
30,31,RB5,Austin Ekeler,RB,LAC,"Ekeler should remain a top-12 RB once he returns from his ankle injury, but he's a declining asset who will be 29 years old next season.",Mid 2024 1st
31,32,RB6,Saquon Barkley,RB,NYG,,Mid 2024 1st
32,33,QB13,Dak Prescott,QB,DAL,"Prescott has been inconsistent to start the year, and he may not need to throw much in general with DAL's defense limiting opponents.",Mid 2024 1st
33,34,QB14,Deshaun Watson,QB,CLE,"Watson still hasn't shaken off the rust despite playing behind a top OL, and it's unclear whether he'll regain his HOU form at this point.",Mid 2024 1st
34,35,WR13,DK Metcalf,WR,SEA,,Mid 2024 1st
35,36,WR14,Jaxon Smith-Njigba,WR,SEA,"JSN is only playing in 3WR sets and being targeted on short routes, but his outlook remains bullish long-term.",Mid 2024 1st
36,37,WR15,Zay Flowers,WR,BAL,"Flowers has already ascended to the clear No. 1 WR role in BAL, and things should open up downfield once their OL gets healthier.",Mid 2024 1st
37,38,WR16,Jordan Addison,WR,MIN,"Addison is slowing taking over the No. 2 WR role in MIN, and their defense is forcing enough shootouts to give him a ton of targets.",Mid 2024 1st
38,39,WR17,Cooper Kupp,WR,LAR,,Mid 2024 1st
39,40,WR18,Drake London,WR,ATL,"London still looks like an elite prospect long-term, but Ridder is awful. It's hard to see London being more than a WR3 in 2023.",Mid 2024 1st
40,41,WR19,Tee Higgins,WR,CIN,"As with Chase, there's significant worry that Burrow's calf will downgrade the entire CIN offense in fantasy.",Mid 2024 1st
41,42,RB7,Kenneth Walker,RB,SEA,,Mid 2024 1st
42,43,RB8,Travis Etienne,RB,JAC,,Mid 2024 1st
43,44,RB9,De'Von Achane,RB,MIA,"Achane will likely lead a committee backfield, but McDaniel's scheme puts him in position to score a TD every time he touches the ball.",Mid 2024 1st
44,45,RB10,Jahmyr Gibbs,RB,DET,It's become apparent that Gibbs's fantasy ceiling will be limited by DET's clear preference for Montgomery on early downs and near the GL.,Mid 2024 1st
45,46,RB11,Jonathan Taylor,RB,IND,"It's unclear how many games Taylor will play in 2023, but he should still be a strong buy for rebuilding teams.",Mid 2024 1st
46,47,WR20,Deebo Samuel,WR,SF,"Samuel and Aiyuk may alternate big weeks in 2023, but both have massive ceilings with Aiyuk heading to free agency this offseason.",Mid 2024 1st
47,48,WR21,Brandon Aiyuk,WR,SF,,Mid 2024 1st
48,49,TE3,Sam LaPorta,TE,DET,"Even as a rookie, LaPorta is heavily involved as a pass-catcher and has shown high-end playmaking ability.",Late 2024 1st
49,50,WR22,Marquise Brown,WR,ARI,"ARI's offense has been surprisingly efficient with Dobbs at the helm, and Brown is seeing enough volume to be a WR2 ROS.",Late 2024 1st
50,51,WR23,Puka Nacua,WR,LAR,"Even with Kupp's impending return, Nacua has shown route-running savvy and rapport with Stafford to remain a strong WR2 ROS.",Late 2024 1st
51,52,RB12,James Cook,RB,BUF,,Late 2024 1st
52,53,RB13,Rhamondre Stevenson,RB,NE,,Late 2024 1st
53,54,QB15,Brock Purdy,QB,SF,"Purdy may not have elite QB1 upside distributing the ball in Shanahan's run-heavy offense, but he can be a perennial back-end QB1.",Late 2024 1st
54,55,TE4,TJ Hockenson,TE,MIN,,Late 2024 1st
55,56,QB16,Kirk Cousins,QB,MIN,"This may be Cousins's last season of fantasy relevance in MIN, but he's a solid back-end QB1 for contending teams ROS yet again.",Late 2024 1st
56,57,QB17,Bryce Young,QB,CAR,"It's still early, but 2023 looks like a lost season for the 1st overall pick without a major upgrade in receiving weapons or playcalling.",Late 2024 1st
57,58,TE5,George Kittle,TE,SF,,Late 2024 1st
58,59,TE6,Kyle Pitts,TE,ATL,"There's no weekly floor or ceiling with Ridder. Perhaps Heinicke could be better, but Pitts probably won't hit until 2024, if at all.",Late 2024 1st
59,60,TE7,Dalton Kincaid,TE,BUF,,Late 2024 1st
60,61,QB18,Jared Goff,QB,DET,Goff looks to be in command of this DET offense and should be a solid QB2 behind this OL and with these pass-catching playmakers.,Late 2024 1st
61,62,QB19,Daniel Jones,QB,NYG,,Late 2024 1st
62,63,QB20,Jordan Love,QB,GB,"Love doesn't look elite, but he can be a perennial back-end QB1 in Matt LaFleur's scheme, especially if GB's OL gets healthy.",Late 2024 1st
63,64,QB21,Geno Smith,QB,SEA,,Late 2024 1st
64,65,QB22,Kenny Pickett,QB,PIT,,Late 2024 1st
65,66,WR24,Keenan Allen,WR,LAC,"There's risk with Allen nearing 32 years old, but he looks to be a strong WR2 with WR1 upside ROS for contending teams.",Late 2024 1st
66,67,WR25,Michael Pittman,WR,IND,"There will be growing pains with Richardson at QB, but Pittman looks to be heavily involved in Steichen's passing offense.",Late 2024 1st
67,68,WR26,Amari Cooper,WR,CLE,,Late 2024 1st
68,69,WR27,Christian Watson,WR,GB,Jordan Love has looked adequate enough to execute LaFleur's offense with efficiency. Watson could be a strong contributor once healthy.,Late 2024 1st
69,70,WR28,Nico Collins,WR,HOU,"Stroud has started off strong and should continue to improve, which gives Collins WR2 potential ROS with high weekly upside.",Late 2024 1st
70,71,WR29,DJ Moore,WR,CHI,Moore showed his massive weekly ceiling vs. poor DEN and WAS secondaries and can be a WR2 ROS.,Late 2024 1st
71,72,WR30,Calvin Ridley,WR,JAC,"Ridley has been quiet the last few games since exploding in Week 1, but he should bounce back and has WR2 potential ROS.",Late 2024 1st
72,73,WR31,Quentin Johnston,WR,LAC,,Late 2024 1st
73,74,WR32,Jerry Jeudy,WR,DEN,,Late 2024 1st
74,75,WR33,George Pickens,WR,PIT,,Late 2024 1st
75,76,WR34,Terry McLaurin,WR,WAS,,Late 2024 1st
76,77,RB14,Alvin Kamara,RB,NO,"It's only been one week back, but Kamara looks like a RB1 ROS for contending teams with Derek Carr's proficiency for checking down.",Late 2024 1st
77,78,RB15,Isiah Pacheco,RB,KC,,Late 2024 1st
78,79,RB16,Josh Jacobs,RB,LV,,Late 2024 1st
79,80,RB17,Joe Mixon,RB,CIN,,Early 2024 2nd
80,81,RB18,Aaron Jones,RB,GB,,Early 2024 2nd
81,82,RB19,David Montgomery,RB,DET,"Montgomery looks to be a strong RB2 ROS with weekly TD potential behind a stout DET OL that wants to run the ball, especially near the GL.",Early 2024 2nd
82,83,RB20,Brian Robinson,RB,WAS,,Early 2024 2nd
83,84,TE8,Darren Waller,TE,NYG,,Early 2024 2nd
84,85,TE9,Dallas Goedert,TE,PHI,,Early 2024 2nd
85,86,WR35,Jakobi Meyers,WR,LV,Meyers has shown immense PPR upside with Garoppolo in the Edelman role in McDaniels's offense and continues to be undervalued.,Early 2024 2nd
86,87,WR36,Gabriel Davis,WR,BUF,"BUF has wanted Allen to run a bit less, and a healthy Davis has been a great downfield target. He's a boom/bust WR3 ROS.",Early 2024 2nd
87,88,WR37,Chris Godwin,WR,TB,,Early 2024 2nd
88,89,RB21,D'Andre Swift,RB,PHI,"Swift has cemented himself as the lead back in PHI, but he's still a risky asset given his injury history. Hold if contending but sell if possible.",Early 2024 2nd
89,90,RB22,Javonte Williams,RB,DEN,,Early 2024 2nd
90,91,RB23,Dameon Pierce,RB,HOU,,Early 2024 2nd
91,92,RB24,Najee Harris,RB,PIT,,Early 2024 2nd
92,93,WR38,Jahan Dotson,WR,WAS,,Early 2024 2nd
93,94,WR39,Diontae Johnson,WR,PIT,,Early 2024 2nd
94,95,WR40,Mike Evans,WR,TB,,Early 2024 2nd
95,96,RB25,Kyren Williams,RB,LAR,"Both Williams and Ford could be easily replaced, but they look to be near workhorses for now and project as RB2s with RB1 upside ROS.",Early 2024 2nd
96,97,RB26,Jerome Ford,RB,CLE,,Early 2024 2nd
97,98,RB27,James Conner,RB,ARI,,Early 2024 2nd
98,99,RB28,Derrick Henry,RB,TEN,Henry is running behind a bottom-5 OL and is losing snaps and passing downs to Spears. Sell high if possible after a big game vs. CIN.,Early 2024 2nd
99,100,WR41,DeAndre Hopkins,WR,TEN,,Mid 2024 2nd
100,101,WR42,Christian Kirk,WR,JAC,,Mid 2024 2nd
101,102,WR43,Tyler Lockett,WR,SEA,,Mid 2024 2nd
102,103,WR44,Treylon Burks,WR,TEN,,Mid 2024 2nd
103,104,RB29,Zach Charbonnet,RB,SEA,,Mid 2024 2nd
104,105,RB30,Jaylen Warren,RB,PIT,,Mid 2024 2nd
105,106,RB31,Tank Bigsby,RB,JAC,,Mid 2024 2nd
106,107,QB23,Sam Howell,QB,WAS,Howell has been inconsistent but looks to be a serviceable QB2 ROS with some rushing upside.,Mid 2024 2nd
107,108,QB24,Matthew Stafford,QB,LAR,Stafford is playing well and could be a top-12 fantasy QB ROS once he gets Kupp back alongside Nacua. He's a cheap buy for contenders.,Mid 2024 2nd
108,109,QB25,Russell Wilson,QB,DEN,"DEN's defense is the worst in the NFL, but their offense has been much improved under Payton. Wilson is a solid QB2 ROS.",Mid 2024 2nd
109,110,QB26,Will Levis,QB,TEN,,Mid 2024 2nd
110,111,WR45,Courtland Sutton,WR,DEN,,Mid 2024 2nd
111,112,WR46,Elijah Moore,WR,CLE,,Mid 2024 2nd
112,113,WR47,Jameson Williams,WR,DET,"With ARSB and LaPorta playing well, Williams is a sell-high if he has a big game once back from the suspension.",Mid 2024 2nd
113,114,WR48,Marvin Mims,WR,DEN,Mims has shown flashes but seems unlikely to be a consistent contributor as a rookie. He's a hold or buy heading into 2024.,Mid 2024 2nd
114,115,RB32,Khalil Herbert,RB,CHI,,Mid 2024 2nd
115,116,RB33,Rachaad White,RB,TB,,Mid 2024 2nd
116,117,RB34,Miles Sanders,RB,CAR,Sell Sanders if possible. He's looked inefficient and could be battling this groin issue all year. Hubbard could become the 1A at some point.,Mid 2024 2nd
117,118,TE10,Evan Engram,TE,JAC,,Mid 2024 2nd
118,119,TE11,Jake Ferguson,TE,DAL,"Prescott continues to target Ferguson heavily, and Schultz was a back-end TE1 in that role. Ferguson remains a strong hold or buy.",Mid 2024 2nd
119,120,TE12,Pat Freiermuth,TE,PIT,,Mid 2024 2nd
120,121,TE13,Luke Musgrave,TE,GB,,Mid 2024 2nd
121,122,RB35,Raheem Mostert,RB,MIA,"Mostert can still have some big weeks if he stays healthy, but Achane looks to be the 1A in MIA's backfield going forward.",Mid 2024 2nd
122,123,RB36,Tyjae Spears,RB,TEN,"There's a real chance that TEN could trade Derrick Henry if they fall out of contention, which would give Spears weekly RB2 potential.",Mid 2024 2nd
123,124,RB37,Zack Moss,RB,IND,"Moss is a hold for now. There's still no telling what will happen with Taylor ROS, and Moss has been a workhorse with Taylor out.",Mid 2024 2nd
124,125,QB27,Joshua Dobbs,QB,ARI,"Dobbs is the 2023 Geno Smith. He's played exceptionally well and should earn a starting role somewhere next year, even if it's not in ARI.",Mid 2024 2nd
125,126,QB28,Jimmy Garoppolo,QB,LV,Garoppolo has actually played well to open the year and is a serviceable QB2 ROS if healthy throwing to Adams and Meyers.,Mid 2024 2nd
126,127,QB29,Derek Carr,QB,NO,,Late 2024 2nd
127,128,WR49,Tank Dell,WR,HOU,Dell has played well outside despite his size and clearly has chemistry with Stroud to make big plays downfield. He's a decent flex ROS.,Late 2024 2nd
128,129,RB38,Roschon Johnson,RB,CHI,,Late 2024 2nd
129,130,WR50,Kadarius Toney,WR,KC,"It's possible that no KC WR emerges to be a true No. 1 option in this offense, but Toney is the most dynamic KC WR if he can stay healthy.",Late 2024 2nd
130,131,WR51,Rashee Rice,WR,KC,,Late 2024 2nd
131,132,WR52,Skyy Moore,WR,KC,,Late 2024 2nd
132,133,TE14,Michael Mayer,TE,LV,,Late 2024 2nd
133,134,WR53,Romeo Doubs,WR,GB,"Both Doubs and Reed have flashed, but it's possible neither will see consistent targets with Watson back. Both are holds for now.",Late 2024 2nd
134,135,WR54,Jayden Reed,WR,GB,,Late 2024 2nd
135,136,WR55,Josh Downs,WR,IND,,Late 2024 2nd
136,137,WR56,Zay Jones,WR,JAC,Jones has shown playmaking ability when healthy and can be a boom/bust flex play if JAX can get it together on offense.,Late 2024 2nd
137,138,WR57,Rashod Bateman,WR,BAL,"It's looking like Bateman is the No. 3 option behind Andrews and Flowers even when healthy, and he hasn't been healthy very much.",Late 2024 2nd
138,139,QB30,Mac Jones,QB,NE,,Late 2024 2nd
139,140,RB39,Jerick McKinnon,RB,KC,,Late 2024 2nd
140,141,RB40,Antonio Gibson,RB,WAS,,Late 2024 2nd
141,142,RB41,Alexander Mattison,RB,MIN,,Late 2024 2nd
142,143,RB42,Tyler Allgeier,RB,ATL,,Late 2024 2nd
143,144,RB43,Kendre Miller,RB,NO,,Late 2024 2nd
144,145,TE15,Hunter Henry,TE,NE,,Early 2024 3rd
145,146,TE16,David Njoku,TE,CLE,,Early 2024 3rd
146,147,TE17,Cole Kmet,TE,CHI,,Early 2024 3rd
147,148,TE18,Zach Ertz,TE,ARI,,Early 2024 3rd
148,149,WR58,Adam Thielen,WR,CAR,,Early 2024 3rd
149,150,WR59,Michael Thomas,WR,NO,,Early 2024 3rd
150,151,WR60,Michael Gallup,WR,DAL,,Early 2024 3rd
151,152,WR61,Michael Wilson,WR,ARI,,Early 2024 3rd
152,153,WR62,Brandin Cooks,WR,DAL,,Early 2024 3rd
153,154,RB44,Justice Hill,RB,BAL,,Early 2024 3rd
154,155,RB45,Gus Edwards,RB,BAL,,Early 2024 3rd
155,156,RB46,Rico Dowdle,RB,DAL,Dowdle has shown some playmaking potential and could have RB2 upside if Pollard were to miss any time.,Early 2024 3rd
156,157,RB47,Chuba Hubbard,RB,CAR,,Early 2024 3rd
157,158,RB48,Kenneth Gainwell,RB,PHI,,Early 2024 3rd
158,159,RB49,Ezekiel Elliott,RB,NE,,Early 2024 3rd
159,160,RB50,Cam Akers,RB,MIN,,Early 2024 3rd
160,161,RB51,Samaje Perine,RB,DEN,,Early 2024 3rd
161,162,RB52,Dalvin Cook,RB,NYJ,,Early 2024 3rd
162,163,WR63,Josh Palmer,WR,LAC,,Late 2023 3rd
163,164,WR64,Jonathan Mingo,WR,CAR,,Early 2024 3rd
164,165,WR65,Jalin Hyatt,WR,NYG,,Early 2024 3rd
165,166,WR66,Rashid Shaheed,WR,NO,,Early 2024 3rd
166,167,QB31,Zach Wilson,QB,NYJ,,Early 2024 3rd
167,168,QB32,Baker Mayfield,QB,TB,,Early 2024 3rd
168,169,QB33,Aaron Rodgers,QB,NYJ,It sounds like Rodgers doesn't plan to retire and should be back for the start of the 2024 season.,Early 2024 3rd
169,170,RB53,Jeff Wilson Jr,RB,MIA,Wilson should return from IR soon but will need Achane or Mostert to miss time to be startable in fantasy.,Mid 2024 3rd
170,171,RB54,Rashaad Penny,RB,PHI,,Mid 2024 3rd
171,172,RB55,Damien Harris,RB,BUF,,Mid 2024 3rd
172,173,RB56,Jamaal Williams,RB,NO,,Mid 2024 3rd
173,174,WR67,Odell Beckham,WR,BAL,,Mid 2024 3rd
174,175,WR68,Curtis Samuel,WR,WAS,,Mid 2024 3rd
175,176,TE19,Dalton Schultz,TE,HOU,,Mid 2024 3rd
176,177,TE20,Gerald Everett,TE,LAC,,Mid 2024 3rd
177,178,TE21,Tyler Higbee,TE,LAR,,Mid 2024 3rd
178,179,TE22,Logan Thomas,TE,WAS,,Mid 2024 3rd
179,180,QB34,Ryan Tannehill,QB,TEN,,Mid 2024 3rd
180,181,QB35,Desmond Ridder,QB,ATL,,Mid 2024 3rd
181,182,WR69,Mike Williams,WR,LAC,"Williams should be ready for Week 1 of 2024, and the ACL shouldn't affect a straight-line downfield threat like him as much as other WRs.",Mid 2024 3rd
182,183,WR70,DJ Chark,WR,CAR,,Mid 2024 3rd
183,184,WR71,Tyler Boyd,WR,CIN,,Mid 2024 3rd
184,185,TE23,Greg Dulcich,TE,DEN,,Mid 2024 3rd
185,186,TE24,Chigoziem Okonkwo,TE,TEN,,Mid 2024 3rd
186,187,RB57,Elijah Mitchell,RB,SF,,Mid 2024 3rd
187,188,RB58,Joshua Kelley,RB,LAC,,Mid 2024 3rd
188,189,RB59,AJ Dillon,RB,GB,Dillon didn't show much when Jones was out early in the season and doesn't look to have much upside even if Jones were to miss more time.,Mid 2024 3rd
189,190,WR72,Tutu Atwell,WR,LAR,,Mid 2024 3rd
190,191,WR73,Wan'Dale Robinson,WR,NYG,,Mid 2024 3rd
191,192,WR74,DeVante Parker,WR,NE,,Late 2024 3rd
192,193,QB36,Hendon Hooker,QB,DET,,Late 2024 3rd
193,194,RB60,Devin Singletary,RB,HOU,,Late 2024 3rd
194,195,RB61,Jordan Mason,RB,SF,"Elijah Mitchell is continually banged up, so Mason has a chance to be fantasy relevant if McCaffrey were to miss any time ROS.",Late 2024 3rd
195,196,RB62,Isaiah Spiller,RB,LAC,,Late 2024 3rd
196,197,RB63,Kareem Hunt,RB,CLE,,Late 2024 3rd
197,198,RB64,Leonard Fournette,RB,FA,,Late 2024 3rd
198,199,RB65,JK Dobbins,RB,BAL,"It's possible that neither of these RBs will ever be fantasy relevant again, but they're worth rolling the dice on for a late 3rd or less.",Late 2024 3rd
199,200,RB66,Nick Chubb,RB,CLE,,Late 2024 3rd
