,Rank,Pos Rk,Player,Pos,Team,Comments,Draft Pick Value,Player Id,Owner Id,Value
0,1,QB1,Patrick Mahomes,QB,KC,,>2024 1.01,4046,859924767849963520,94
1,2,QB2,Lamar Jackson,QB,BAL,,>2024 1.01,4881,867861194491506688,76
2,3,QB3,Jalen Hurts,QB,PHI,,>2024 1.01,6904,934257798362341376,100
3,4,QB4,Josh Allen,QB,BUF,,>2024 1.01,4984,859927095139270656,100
4,5,WR1,Justin Jefferson,WR,MIN,,>2024 1.01,6794,979271462437572608,88
5,6,QB5,Anthony Richardson,QB,IND,"Richardson has shown more as a passer than many expected, and Shane Steichen is giving him plenty of rushing and GL opportunities.",>2024 1.01,9229,991539775981019136,65
6,7,RB1,Bijan Robinson,RB,ATL,,~2024 1.01,9509,867861194491506688,81
7,8,RB2,Breece Hall,RB,NYJ,"There's not much to love about a Zach Wilson-led Jets offense, but Hall has shown elite RB1 upside as soon as he's 100% healthy.",~2024 1.01,8155,867861194491506688,75
8,9,WR2,Ja'Marr Chase,WR,CIN,"Chase is still an elite WR long term, but there's concern about 2023 production if Burrow's calf isn't 100% all season.",~2024 1.01,7564,996563003929796608,84
9,10,QB6,Tua Tagovailoa,QB,MIA,"The only concern for Tua is health. If he can stay on the field, Tua will be a strong QB1 with elite weekly upside this season.",~2024 1.01,6768,867876367142948864,80
10,11,QB7,Justin Herbert,QB,LAC,,~2024 1.01,6797,993326596813545472,90
11,12,QB8,Joe Burrow,QB,CIN,"Burrow will be fine in the long run, but there's a chance that this calf injury could greatly limit his 2023 production.",~2024 1.01,6770,991539775981019136,80
12,14,RB3,Christian McCaffrey,RB,SF,"The age cliff is looming for McCaffrey, but he's a weekly top-3 RB if he can stay healthy for the duration of the 2023 season.",Early 2024 1st,4034,996563003929796608,61
13,15,QB9,Justin Fields,QB,CHI,"CHI has finally started to call more designed runs for him, so Fields remains a QB1 ROS even with inconsistent passing.",Early 2024 1st,7591,979271462437572608,70
14,16,QB10,Trevor Lawrence,QB,JAC,,Early 2024 1st,7523,870455446538985472,88
15,17,WR4,Chris Olave,WR,NO,,Early 2024 1st,8144,979271462437572608,64
16,18,WR5,Garrett Wilson,WR,NYJ,"Wilson moves down slightly due to the QB downgrade in 2023, but he's still seeing a massive target share this year and is fine long-term.",Early 2024 1st,8146,859927095139270656,65
17,19,WR6,Jaylen Waddle,WR,MIA,,Early 2024 1st,7526,859924767849963520,61
18,20,WR7,Tyreek Hill,WR,MIA,"Age be damned. My dynasty rankings align more with redraft in-season, and Hill and Diggs are still elite WR1s and league-winners in 2023.",Early 2024 1st,3321,870455446538985472,63
19,21,WR8,Stefon Diggs,WR,BUF,,Early 2024 1st,2449,867876367142948864,55
20,22,WR9,Amon-Ra St. Brown,WR,DET,,Early 2024 1st,7547,870455446538985472,69
21,23,WR10,CeeDee Lamb,WR,DAL,,Early 2024 1st,6786,870455446538985472,82
22,24,TE1,Mark Andrews,TE,BAL,,Early 2024 1st,5012,867876367142948864,57
23,25,WR11,Davante Adams,WR,LV,"There was some concern that Garoppolo wouldn't target Adams downfield, but Adams has been a dominant force and truly QB-proof.",Early 2024 1st,2133,859924767849963520,51
24,26,QB11,Kyler Murray,QB,ARI,,Early 2024 1st,5849,867861194491506688,66
25,28,RB4,Tony Pollard,RB,DAL,"Pollard is seeing lead back and GL usage and is a top-5 RB for 2023, but keep in mind he's on the franchise tag heading into 2024.",Mid 2024 1st,5967,870455446538985472,56
26,29,TE2,Travis Kelce,TE,KC,,Mid 2024 1st,1466,996563003929796608,50
27,30,WR12,DeVonta Smith,WR,PHI,,Mid 2024 1st,7525,859927095139270656,59
28,31,RB5,Austin Ekeler,RB,LAC,"Ekeler should remain a top-12 RB once he returns from his ankle injury, but he's a declining asset who will be 29 years old next season.",Mid 2024 1st,4663,859924767849963520,57
29,32,RB6,Saquon Barkley,RB,NYG,,Mid 2024 1st,4866,867876367142948864,53
30,33,QB13,Dak Prescott,QB,DAL,"Prescott has been inconsistent to start the year, and he may not need to throw much in general with DAL's defense limiting opponents.",Mid 2024 1st,3294,979271462437572608,52
31,34,QB14,Deshaun Watson,QB,CLE,"Watson still hasn't shaken off the rust despite playing behind a top OL, and it's unclear whether he'll regain his HOU form at this point.",Mid 2024 1st,4017,867861194491506688,52
32,36,WR14,Jaxon Smith-Njigba,WR,SEA,"JSN is only playing in 3WR sets and being targeted on short routes, but his outlook remains bullish long-term.",Mid 2024 1st,9488,993326596813545472,43
33,37,WR15,Zay Flowers,WR,BAL,"Flowers has already ascended to the clear No. 1 WR role in BAL, and things should open up downfield once their OL gets healthier.",Mid 2024 1st,9997,859927095139270656,46
34,38,WR16,Jordan Addison,WR,MIN,"Addison is slowing taking over the No. 2 WR role in MIN, and their defense is forcing enough shootouts to give him a ton of targets.",Mid 2024 1st,9756,867861194491506688,44
35,39,WR17,Cooper Kupp,WR,LAR,,Mid 2024 1st,4039,859924767849963520,50
36,40,WR18,Drake London,WR,ATL,"London still looks like an elite prospect long-term, but Ridder is awful. It's hard to see London being more than a WR3 in 2023.",Mid 2024 1st,8112,991539775981019136,50
37,41,WR19,Tee Higgins,WR,CIN,"As with Chase, there's significant worry that Burrow's calf will downgrade the entire CIN offense in fantasy.",Mid 2024 1st,6801,867876367142948864,51
38,43,RB8,Travis Etienne,RB,JAC,,Mid 2024 1st,7543,870455446538985472,59
39,44,RB9,De'Von Achane,RB,MIA,"Achane will likely lead a committee backfield, but McDaniel's scheme puts him in position to score a TD every time he touches the ball.",Mid 2024 1st,9226,996563003929796608,43
40,45,RB10,Jahmyr Gibbs,RB,DET,It's become apparent that Gibbs's fantasy ceiling will be limited by DET's clear preference for Montgomery on early downs and near the GL.,Mid 2024 1st,9221,979271462437572608,59
41,46,RB11,Jonathan Taylor,RB,IND,"It's unclear how many games Taylor will play in 2023, but he should still be a strong buy for rebuilding teams.",Mid 2024 1st,6813,991539775981019136,64
42,47,WR20,Deebo Samuel,WR,SF,"Samuel and Aiyuk may alternate big weeks in 2023, but both have massive ceilings with Aiyuk heading to free agency this offseason.",Mid 2024 1st,5872,867876367142948864,44
43,48,WR21,Brandon Aiyuk,WR,SF,,Mid 2024 1st,6803,859927095139270656,45
44,49,TE3,Sam LaPorta,TE,DET,"Even as a rookie, LaPorta is heavily involved as a pass-catcher and has shown high-end playmaking ability.",Late 2024 1st,10859,870455446538985472,45
45,50,WR22,Marquise Brown,WR,ARI,"ARI's offense has been surprisingly efficient with Dobbs at the helm, and Brown is seeing enough volume to be a WR2 ROS.",Late 2024 1st,5848,870455446538985472,40
46,51,WR23,Puka Nacua,WR,LAR,"Even with Kupp's impending return, Nacua has shown route-running savvy and rapport with Stafford to remain a strong WR2 ROS.",Late 2024 1st,9493,934257798362341376,50
47,52,RB12,James Cook,RB,BUF,,Late 2024 1st,8138,934257798362341376,41
48,53,RB13,Rhamondre Stevenson,RB,NE,,Late 2024 1st,7611,859927095139270656,39
49,54,QB15,Brock Purdy,QB,SF,"Purdy may not have elite QB1 upside distributing the ball in Shanahan's run-heavy offense, but he can be a perennial back-end QB1.",Late 2024 1st,8183,867876367142948864,53
50,56,QB16,Kirk Cousins,QB,MIN,"This may be Cousins's last season of fantasy relevance in MIN, but he's a solid back-end QB1 for contending teams ROS yet again.",Late 2024 1st,1166,996563003929796608,40
51,57,QB17,Bryce Young,QB,CAR,"It's still early, but 2023 looks like a lost season for the 1st overall pick without a major upgrade in receiving weapons or playcalling.",Late 2024 1st,9228,870455446538985472,53
52,58,TE5,George Kittle,TE,SF,,Late 2024 1st,4217,867861194491506688,41
53,59,TE6,Kyle Pitts,TE,ATL,"There's no weekly floor or ceiling with Ridder. Perhaps Heinicke could be better, but Pitts probably won't hit until 2024, if at all.",Late 2024 1st,7553,991539775981019136,45
54,60,TE7,Dalton Kincaid,TE,BUF,,Late 2024 1st,10236,979271462437572608,41
55,61,QB18,Jared Goff,QB,DET,Goff looks to be in command of this DET offense and should be a solid QB2 behind this OL and with these pass-catching playmakers.,Late 2024 1st,3163,859924767849963520,50
56,62,QB19,Daniel Jones,QB,NYG,,Late 2024 1st,5870,979271462437572608,43
57,63,QB20,Jordan Love,QB,GB,"Love doesn't look elite, but he can be a perennial back-end QB1 in Matt LaFleur's scheme, especially if GB's OL gets healthy.",Late 2024 1st,6804,934257798362341376,44
58,64,QB21,Geno Smith,QB,SEA,,Late 2024 1st,1373,993326596813545472,44
59,65,QB22,Kenny Pickett,QB,PIT,,Late 2024 1st,8160,934257798362341376,40
60,66,WR24,Keenan Allen,WR,LAC,"There's risk with Allen nearing 32 years old, but he looks to be a strong WR2 with WR1 upside ROS for contending teams.",Late 2024 1st,1479,996563003929796608,39
61,68,WR26,Amari Cooper,WR,CLE,,Late 2024 1st,2309,979271462437572608,38
62,69,WR27,Christian Watson,WR,GB,Jordan Love has looked adequate enough to execute LaFleur's offense with efficiency. Watson could be a strong contributor once healthy.,Late 2024 1st,8167,934257798362341376,47
63,70,WR28,Nico Collins,WR,HOU,"Stroud has started off strong and should continue to improve, which gives Collins WR2 potential ROS with high weekly upside.",Late 2024 1st,7569,859927095139270656,42
64,72,WR30,Calvin Ridley,WR,JAC,"Ridley has been quiet the last few games since exploding in Week 1, but he should bounce back and has WR2 potential ROS.",Late 2024 1st,4981,996563003929796608,42
65,73,WR31,Quentin Johnston,WR,LAC,,Late 2024 1st,9754,991539775981019136,41
66,74,WR32,Jerry Jeudy,WR,DEN,,Late 2024 1st,6783,979271462437572608,42
67,75,WR33,George Pickens,WR,PIT,,Late 2024 1st,8137,993326596813545472,41
68,76,WR34,Terry McLaurin,WR,WAS,,Late 2024 1st,5927,934257798362341376,39
69,77,RB14,Alvin Kamara,RB,NO,"It's only been one week back, but Kamara looks like a RB1 ROS for contending teams with Derek Carr's proficiency for checking down.",Late 2024 1st,4035,859924767849963520,37
70,78,RB15,Isiah Pacheco,RB,KC,,Late 2024 1st,8205,996563003929796608,38
71,79,RB16,Josh Jacobs,RB,LV,,Late 2024 1st,5850,934257798362341376,58
72,80,RB17,Joe Mixon,RB,CIN,,Early 2024 2nd,4018,859927095139270656,39
73,81,RB18,Aaron Jones,RB,GB,,Early 2024 2nd,4199,870455446538985472,36
74,82,RB19,David Montgomery,RB,DET,"Montgomery looks to be a strong RB2 ROS with weekly TD potential behind a stout DET OL that wants to run the ball, especially near the GL.",Early 2024 2nd,5892,867876367142948864,39
75,84,TE8,Darren Waller,TE,NYG,,Early 2024 2nd,2505,867876367142948864,28
76,85,TE9,Dallas Goedert,TE,PHI,,Early 2024 2nd,5022,859924767849963520,40
77,86,WR35,Jakobi Meyers,WR,LV,Meyers has shown immense PPR upside with Garoppolo in the Edelman role in McDaniels's offense and continues to be undervalued.,Early 2024 2nd,5947,993326596813545472,34
78,88,WR37,Chris Godwin,WR,TB,,Early 2024 2nd,4037,867861194491506688,43
79,89,RB21,D'Andre Swift,RB,PHI,"Swift has cemented himself as the lead back in PHI, but he's still a risky asset given his injury history. Hold if contending but sell if possible.",Early 2024 2nd,6790,993326596813545472,40
80,90,RB22,Javonte Williams,RB,DEN,,Early 2024 2nd,7588,979271462437572608,43
81,91,RB23,Dameon Pierce,RB,HOU,,Early 2024 2nd,8129,934257798362341376,38
82,92,RB24,Najee Harris,RB,PIT,,Early 2024 2nd,7528,991539775981019136,37
83,93,WR38,Jahan Dotson,WR,WAS,,Early 2024 2nd,8119,991539775981019136,37
84,94,WR39,Diontae Johnson,WR,PIT,,Early 2024 2nd,5937,859924767849963520,38
85,95,WR40,Mike Evans,WR,TB,,Early 2024 2nd,2216,996563003929796608,37
86,96,RB25,Kyren Williams,RB,LAR,"Both Williams and Ford could be easily replaced, but they look to be near workhorses for now and project as RB2s with RB1 upside ROS.",Early 2024 2nd,8150,993326596813545472,34
87,97,RB26,Jerome Ford,RB,CLE,,Early 2024 2nd,8143,867861194491506688,31
88,98,RB27,James Conner,RB,ARI,,Early 2024 2nd,4137,934257798362341376,30
89,99,RB28,Derrick Henry,RB,TEN,Henry is running behind a bottom-5 OL and is losing snaps and passing downs to Spears. Sell high if possible after a big game vs. CIN.,Early 2024 2nd,3198,859924767849963520,40
90,100,WR41,DeAndre Hopkins,WR,TEN,,Mid 2024 2nd,1426,991539775981019136,34
91,101,WR42,Christian Kirk,WR,JAC,,Mid 2024 2nd,4950,867876367142948864,43
92,102,WR43,Tyler Lockett,WR,SEA,,Mid 2024 2nd,2374,859924767849963520,32
93,103,WR44,Treylon Burks,WR,TEN,,Mid 2024 2nd,8135,991539775981019136,33
94,104,RB29,Zach Charbonnet,RB,SEA,,Mid 2024 2nd,9753,859927095139270656,37
95,105,RB30,Jaylen Warren,RB,PIT,,Mid 2024 2nd,8228,979271462437572608,29
96,106,RB31,Tank Bigsby,RB,JAC,,Mid 2024 2nd,9225,859924767849963520,24
97,107,QB23,Sam Howell,QB,WAS,Howell has been inconsistent but looks to be a serviceable QB2 ROS with some rushing upside.,Mid 2024 2nd,8162,993326596813545472,38
98,108,QB24,Matthew Stafford,QB,LAR,Stafford is playing well and could be a top-12 fantasy QB ROS once he gets Kupp back alongside Nacua. He's a cheap buy for contenders.,Mid 2024 2nd,421,859924767849963520,36
99,109,QB25,Russell Wilson,QB,DEN,"DEN's defense is the worst in the NFL, but their offense has been much improved under Payton. Wilson is a solid QB2 ROS.",Mid 2024 2nd,1234,996563003929796608,37
100,110,QB26,Will Levis,QB,TEN,,Mid 2024 2nd,9999,991539775981019136,21
101,111,WR45,Courtland Sutton,WR,DEN,,Mid 2024 2nd,5045,934257798362341376,32
102,112,WR46,Elijah Moore,WR,CLE,,Mid 2024 2nd,7596,870455446538985472,32
103,113,WR47,Jameson Williams,WR,DET,"With ARSB and LaPorta playing well, Williams is a sell-high if he has a big game once back from the suspension.",Mid 2024 2nd,8148,867861194491506688,37
104,115,RB32,Khalil Herbert,RB,CHI,,Mid 2024 2nd,7608,859927095139270656,25
105,116,RB33,Rachaad White,RB,TB,,Mid 2024 2nd,8136,859927095139270656,32
106,117,RB34,Miles Sanders,RB,CAR,Sell Sanders if possible. He's looked inefficient and could be battling this groin issue all year. Hubbard could become the 1A at some point.,Mid 2024 2nd,6151,867876367142948864,35
107,118,TE10,Evan Engram,TE,JAC,,Mid 2024 2nd,4066,859927095139270656,35
108,119,TE11,Jake Ferguson,TE,DAL,"Prescott continues to target Ferguson heavily, and Schultz was a back-end TE1 in that role. Ferguson remains a strong hold or buy.",Mid 2024 2nd,8110,859927095139270656,26
109,120,TE12,Pat Freiermuth,TE,PIT,,Mid 2024 2nd,7600,870455446538985472,38
110,121,TE13,Luke Musgrave,TE,GB,,Mid 2024 2nd,9481,867861194491506688,39
111,122,RB35,Raheem Mostert,RB,MIA,"Mostert can still have some big weeks if he stays healthy, but Achane looks to be the 1A in MIA's backfield going forward.",Mid 2024 2nd,2749,867876367142948864,21
112,123,RB36,Tyjae Spears,RB,TEN,"There's a real chance that TEN could trade Derrick Henry if they fall out of contention, which would give Spears weekly RB2 potential.",Mid 2024 2nd,9508,870455446538985472,40
113,124,RB37,Zack Moss,RB,IND,"Moss is a hold for now. There's still no telling what will happen with Taylor ROS, and Moss has been a workhorse with Taylor out.",Mid 2024 2nd,6845,867861194491506688,23
114,125,QB27,Joshua Dobbs,QB,ARI,"Dobbs is the 2023 Geno Smith. He's played exceptionally well and should earn a starting role somewhere next year, even if it's not in ARI.",Mid 2024 2nd,4179,859927095139270656,24
115,126,QB28,Jimmy Garoppolo,QB,LV,Garoppolo has actually played well to open the year and is a serviceable QB2 ROS if healthy throwing to Adams and Meyers.,Mid 2024 2nd,1837,867876367142948864,30
116,127,QB29,Derek Carr,QB,NO,,Late 2024 2nd,2028,870455446538985472,39
117,129,RB38,Roschon Johnson,RB,CHI,,Late 2024 2nd,10235,859927095139270656,37
118,130,WR50,Kadarius Toney,WR,KC,"It's possible that no KC WR emerges to be a true No. 1 option in this offense, but Toney is the most dynamic KC WR if he can stay healthy.",Late 2024 2nd,7606,991539775981019136,23
119,131,WR51,Rashee Rice,WR,KC,,Late 2024 2nd,10229,867861194491506688,39
120,132,WR52,Skyy Moore,WR,KC,,Late 2024 2nd,8168,979271462437572608,24
121,133,TE14,Michael Mayer,TE,LV,,Late 2024 2nd,9482,859924767849963520,28
122,134,WR53,Romeo Doubs,WR,GB,"Both Doubs and Reed have flashed, but it's possible neither will see consistent targets with Watson back. Both are holds for now.",Late 2024 2nd,8121,979271462437572608,31
123,135,WR54,Jayden Reed,WR,GB,,Late 2024 2nd,10222,870455446538985472,29
124,136,WR55,Josh Downs,WR,IND,,Late 2024 2nd,9500,993326596813545472,35
125,137,WR56,Zay Jones,WR,JAC,Jones has shown playmaking ability when healthy and can be a boom/bust flex play if JAX can get it together on offense.,Late 2024 2nd,4080,867861194491506688,22
126,138,WR57,Rashod Bateman,WR,BAL,"It's looking like Bateman is the No. 3 option behind Andrews and Flowers even when healthy, and he hasn't been healthy very much.",Late 2024 2nd,7571,991539775981019136,23
127,139,QB30,Mac Jones,QB,NE,,Late 2024 2nd,7527,991539775981019136,35
128,141,RB40,Antonio Gibson,RB,WAS,,Late 2024 2nd,6945,934257798362341376,16
129,142,RB41,Alexander Mattison,RB,MIN,,Late 2024 2nd,5987,867861194491506688,35
130,143,RB42,Tyler Allgeier,RB,ATL,,Late 2024 2nd,8132,867876367142948864,29
131,144,RB43,Kendre Miller,RB,NO,,Late 2024 2nd,9757,991539775981019136,36
132,145,TE15,Hunter Henry,TE,NE,,Early 2024 3rd,3214,996563003929796608,18
133,146,TE16,David Njoku,TE,CLE,,Early 2024 3rd,4033,934257798362341376,36
134,147,TE17,Cole Kmet,TE,CHI,,Early 2024 3rd,6826,993326596813545472,26
135,148,TE18,Zach Ertz,TE,ARI,,Early 2024 3rd,1339,996563003929796608,10
136,149,WR58,Adam Thielen,WR,CAR,,Early 2024 3rd,1689,867861194491506688,17
137,150,WR59,Michael Thomas,WR,NO,,Early 2024 3rd,3199,993326596813545472,21
138,151,WR60,Michael Gallup,WR,DAL,,Early 2024 3rd,5038,867876367142948864,17
139,152,WR61,Michael Wilson,WR,ARI,,Early 2024 3rd,10232,979271462437572608,30
140,153,WR62,Brandin Cooks,WR,DAL,,Early 2024 3rd,2197,867876367142948864,19
141,154,RB44,Justice Hill,RB,BAL,,Early 2024 3rd,5995,979271462437572608,23
142,155,RB45,Gus Edwards,RB,BAL,,Early 2024 3rd,5248,867861194491506688,20
143,156,RB46,Rico Dowdle,RB,DAL,Dowdle has shown some playmaking potential and could have RB2 upside if Pollard were to miss any time.,Early 2024 3rd,7021,870455446538985472,11
144,157,RB47,Chuba Hubbard,RB,CAR,,Early 2024 3rd,7594,993326596813545472,26
145,158,RB48,Kenneth Gainwell,RB,PHI,,Early 2024 3rd,7567,979271462437572608,25
146,159,RB49,Ezekiel Elliott,RB,NE,,Early 2024 3rd,3164,996563003929796608,14
147,160,RB50,Cam Akers,RB,MIN,,Early 2024 3rd,6938,996563003929796608,28
148,161,RB51,Samaje Perine,RB,DEN,,Early 2024 3rd,4147,979271462437572608,15
149,162,RB52,Dalvin Cook,RB,NYJ,,Early 2024 3rd,4029,996563003929796608,18
150,164,WR64,Jonathan Mingo,WR,CAR,,Early 2024 3rd,10225,991539775981019136,39
151,165,WR65,Jalin Hyatt,WR,NYG,,Early 2024 3rd,9497,859924767849963520,29
152,166,WR66,Rashid Shaheed,WR,NO,,Early 2024 3rd,8676,979271462437572608,29
153,167,QB31,Zach Wilson,QB,NYJ,,Early 2024 3rd,7538,979271462437572608,16
154,168,QB32,Baker Mayfield,QB,TB,,Early 2024 3rd,4892,996563003929796608,35
155,173,RB56,Jamaal Williams,RB,NO,,Mid 2024 3rd,4149,993326596813545472,18
156,175,WR68,Curtis Samuel,WR,WAS,,Mid 2024 3rd,4082,996563003929796608,22
157,176,TE19,Dalton Schultz,TE,HOU,,Mid 2024 3rd,5001,993326596813545472,25
158,177,TE20,Gerald Everett,TE,LAC,,Mid 2024 3rd,4089,996563003929796608,18
159,178,TE21,Tyler Higbee,TE,LAR,,Mid 2024 3rd,3271,867876367142948864,21
160,179,TE22,Logan Thomas,TE,WAS,,Mid 2024 3rd,2251,859924767849963520,16
161,180,QB34,Ryan Tannehill,QB,TEN,,Mid 2024 3rd,1049,993326596813545472,28
162,181,QB35,Desmond Ridder,QB,ATL,,Mid 2024 3rd,8159,934257798362341376,32
163,182,WR69,Mike Williams,WR,LAC,"Williams should be ready for Week 1 of 2024, and the ACL shouldn't affect a straight-line downfield threat like him as much as other WRs.",Mid 2024 3rd,4068,870455446538985472,27
164,184,WR71,Tyler Boyd,WR,CIN,,Mid 2024 3rd,3225,867861194491506688,22
165,185,TE23,Greg Dulcich,TE,DEN,,Mid 2024 3rd,8172,859927095139270656,22
166,186,TE24,Chigoziem Okonkwo,TE,TEN,,Mid 2024 3rd,8210,979271462437572608,26
167,187,RB57,Elijah Mitchell,RB,SF,,Mid 2024 3rd,7561,996563003929796608,17
168,188,RB58,Joshua Kelley,RB,LAC,,Mid 2024 3rd,7045,867861194491506688,13
169,190,WR72,Tutu Atwell,WR,LAR,,Mid 2024 3rd,7562,870455446538985472,27
170,191,WR73,Wan'Dale Robinson,WR,NYG,,Mid 2024 3rd,8126,859927095139270656,30
171,193,QB36,Hendon Hooker,QB,DET,,Late 2024 3rd,9998,979271462437572608,8
172,194,RB60,Devin Singletary,RB,HOU,,Late 2024 3rd,6130,993326596813545472,21
173,195,RB61,Jordan Mason,RB,SF,"Elijah Mitchell is continually banged up, so Mason has a chance to be fantasy relevant if McCaffrey were to miss any time ROS.",Late 2024 3rd,8408,870455446538985472,14
174,197,RB63,Kareem Hunt,RB,CLE,,Late 2024 3rd,4098,867861194491506688,15
175,198,RB64,Leonard Fournette,RB,FA,,Late 2024 3rd,3969,859927095139270656,9
176,200,RB66,Nick Chubb,RB,CLE,,Late 2024 3rd,4988,859927095139270656,17
